Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração;Data Resgate
C07090000142;00001;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000223;00001;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000304;00001;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000142;00001;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000223;00001;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000304;00001;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000576;00001;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000142;00001;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000223;00001;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000304;00001;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090000576;00001;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;9/5/2007;9/24/2011;
C07090001386;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/6/2007;9/25/2011;
C07090001548;00001;1;BANCO ITAU S. A.                        ;948;00001;Banco Itau;D;9/6/2007;9/25/2011;
C07090004563;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/10/2007;9/29/2011;
C07090012159;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/13/2007;10/2/2011;
C07090012310;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/13/2007;10/2/2011;
C07090018351;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/17/2007;10/6/2011;
C07090019161;00001;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;9/17/2007;10/6/2011;
C07090000142;00018;1;BANCO ITAU S. A.                        ;9840;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090000223;00018;1;BANCO ITAU S. A.                        ;26160;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090000304;00018;1;BANCO ITAU S. A.                        ;7020;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090001386;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090001700;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090001700;00018;1;BANCO ITAU S. A.                        ;3000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090001700;00018;1;BANCO ITAU S. A.                        ;2700;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090004563;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090012159;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090012310;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090018351;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
C07090019161;00018;1;BANCO ITAU S. A.                        ;6000;00018;Super bonus;P;9/24/2007;2/9/2035;
