Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
05/09/2007;C07090000142;1;1;2;164;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
05/09/2007;C07090000223;2;2;2;436;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
05/09/2007;C07090000304;3;3;2;117;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
05/09/2007;C07090000576;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
05/09/2007;C07090000657;4;4;3;1969;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
06/09/2007;C07090001386;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
06/09/2007;C07090001548;1;1;2;250;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
06/09/2007;C07090001700;3;3;2;200;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
06/09/2007;C07090001890;3;3;2;500;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Em trânsito
06/09/2007;C07090001971;3;3;2;300;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Aguardando coleta
06/09/2007;C07090002005;3;3;2;400;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
10/09/2007;C07090002196;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
10/09/2007;C07090002277;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090002358;6;6;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090002439;6;6;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
10/09/2007;C07090002510;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
10/09/2007;C07090002609;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090002781;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090002862;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090002943;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090003087;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090003168;6;6;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090003249;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090003320;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090003400;6;6;3;199;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090003591;6;6;3;299;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090003672;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090003753;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090003834;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090003915;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090004059;6;6;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090004130;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090004210;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
10/09/2007;C07090004300;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090004482;7;7;3;568;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
10/09/2007;C07090004563;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
10/09/2007;C07090004644;7;7;3;50;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Aguardando coleta
10/09/2007;C07090004725;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090004806;6;6;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090004997;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005101;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005292;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005373;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005454;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005616;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005705;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
10/09/2007;C07090005888;6;6;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090005969;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090006000;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090006183;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090006264;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006345;6;6;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006426;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
10/09/2007;C07090006507;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006698;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006779;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006850;6;6;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090006930;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
10/09/2007;C07090007236;6;6;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
11/09/2007;C07090007317;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
11/09/2007;C07090007589;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
11/09/2007;C07090007740;10;10;3;40;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Aguardando coleta
11/09/2007;C07090007821;1;1;2;50;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Aguardando coleta
12/09/2007;C07090007902;11;11;3;70;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
12/09/2007;C07090010377;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
12/09/2007;C07090010458;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
12/09/2007;C07090010539;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
12/09/2007;C07090010610;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
12/09/2007;C07090010709;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
12/09/2007;C07090010881;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
12/09/2007;C07090010962;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
12/09/2007;C07090011004;8;8;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
12/09/2007;C07090011187;8;8;3;40;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
12/09/2007;C07090011268;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
12/09/2007;C07090011349;8;8;3;1000;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
12/09/2007;C07090011420;8;8;3;3000;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
13/09/2007;C07090012159;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
13/09/2007;C07090012310;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Encerrada
13/09/2007;C07090012400;1;1;2;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Em trânsito
13/09/2007;C07090012663;6;6;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
13/09/2007;C07090012744;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
13/09/2007;C07090012825;6;6;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
13/09/2007;C07090012906;6;6;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
13/09/2007;C07090013040;6;6;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
16/09/2007;C07090013392;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
16/09/2007;C07090013473;8;8;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
16/09/2007;C07090013554;13;13;4;1000;3;Governo;;Aprovada
16/09/2007;C07090013716;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
16/09/2007;C07090013805;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
16/09/2007;C07090013988;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Em trânsito
17/09/2007;C07090014100;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
17/09/2007;C07090014283;8;8;3;1000;1;Corporativa;TRANSPORTADORA MIRACULA;Encerrada
17/09/2007;C07090015840;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090015921;8;8;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016065;8;8;3;100;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016146;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016227;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016308;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016499;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016570;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016650;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016731;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016812;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090016901;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017037;8;8;3;300;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017118;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017207;8;8;3;200;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017380;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017460;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017541;8;8;3;500;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017622;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017703;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
17/09/2007;C07090017894;8;8;3;400;1;Corporativa;TRANSPORTADORA MIRACULA;Aguardando coleta
