Data Solicitacao;Data Aprovacao;Data Programada;Data Recebimento;Numero Solicitacao;Cod Cliente;Razao Social;UF Cliente;Qtd. Cartuchos;Cod. Categoria;Desc. Categoria;Transportadora;Status
04/23/2013;04/24/2013;04/30/2013;06/03/2013;C13040008314;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;600;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/06/2013;05/07/2013;05/13/2013;06/03/2013;C13050001932;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;200;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/05/2013;06/06/2013;06/11/2013;06/28/2013;C13060001978;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;300;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/20/2013;06/20/2013;06/26/2013;08/07/2013;C13060006180;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;300;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/15/2013;07/16/2013;07/22/2013;08/02/2013;C13070005496;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;200;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/13/2013;08/14/2013;08/20/2013;08/27/2013;C13080005340;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;300;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/30/2014;10/01/2014;10/07/2014;10/28/2014;C14090011295;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;400;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/13/2014;10/14/2014;10/17/2014;10/28/2014;C14100006884;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;400;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/30/2014;10/31/2014;10/31/2014;12/02/2014;C14100014399;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;300;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/17/2014;11/18/2014;11/19/2014;12/29/2014;C14110006062;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;PR;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/07/2014;07/08/2014;07/08/2014;08/06/2014;C14070002657;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/29/2014;07/30/2014;07/31/2014;08/27/2014;C14070013500;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;600;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/07/2014;08/07/2014;08/10/2014;08/27/2014;C14080002773;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/25/2014;08/25/2014;08/25/2014;10/01/2014;C14080008038;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/15/2014;09/15/2014;09/23/2014;10/28/2014;C14090006100;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/23/2014;09/23/2014;09/30/2014;10/27/2014;C14090008820;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;600;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
02/13/2014;02/14/2014;02/18/2014;04/02/2014;C14020007124;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/15/2014;04/15/2014;04/16/2014;04/29/2014;C14040006123;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/24/2014;04/25/2014;04/29/2014;05/26/2014;C14040009220;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;200;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/12/2014;05/12/2014;05/12/2014;07/21/2014;C14050004115;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/19/2014;05/20/2014;05/20/2014;07/21/2014;C14050008102;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/05/2014;06/09/2014;06/09/2014;07/24/2014;C14060004665;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/10/2013;09/11/2013;09/23/2013;09/23/2013;C13090002956;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;350;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/23/2013;09/24/2013;09/27/2013;10/16/2013;C13090006781;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;350;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/24/2013;10/25/2013;10/30/2013;12/03/2013;C13100007912;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;350;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/19/2013;11/21/2013;11/22/2013;01/13/2014;C13110006129;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;450;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
12/12/2013;12/12/2013;12/16/2013;01/15/2014;C13120004110;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;450;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
01/23/2014;01/23/2014;01/27/2014;03/17/2014;C14010006460;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Pr;450;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/01/2013;04/02/2013;04/08/2013;04/11/2013;C13040000259;118;DISTRIFILM COMERCIAL LTDA;SP;101;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/10/2013;04/11/2013;04/17/2013;05/07/2013;C13040003606;118;DISTRIFILM COMERCIAL LTDA;SP;86;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/16/2013;04/17/2013;04/22/2013;05/07/2013;C13040005994;118;DISTRIFILM COMERCIAL LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
04/25/2013;04/26/2013;04/30/2013;05/07/2013;C13040009639;118;DISTRIFILM COMERCIAL LTDA;SP;82;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/06/2013;05/07/2013;05/13/2013;05/31/2013;C13050001770;118;DISTRIFILM COMERCIAL LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/14/2013;05/15/2013;05/27/2013;05/31/2013;C13050004796;118;DISTRIFILM COMERCIAL LTDA;SP;110;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/16/2014;10/16/2014;10/20/2014;11/10/2014;C14100008909;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/20/2014;10/21/2014;10/21/2014;12/03/2014;C14100009980;118;DISTRIFILM COMERCIAL LTDA;SP;60;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/03/2014;11/04/2014;11/04/2014;12/03/2014;C14110000374;118;DISTRIFILM COMERCIAL LTDA;SP;50;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/25/2014;11/26/2014;11/27/2014;01/05/2015;C14110010256;118;DISTRIFILM COMERCIAL LTDA;SP;160;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/05/2014;08/05/2014;08/06/2014;09/25/2014;C14080001297;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/18/2014;08/19/2014;08/20/2014;09/01/2014;C14080006094;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/01/2014;09/01/2014;09/02/2014;10/01/2014;C14090000170;118;DISTRIFILM COMERCIAL LTDA;SP;50;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/16/2014;09/17/2014;09/18/2014;10/06/2014;C14090006704;118;DISTRIFILM COMERCIAL LTDA;SP;50;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/30/2014;09/30/2014;10/01/2014;11/10/2014;C14090010990;118;DISTRIFILM COMERCIAL LTDA;SP;150;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/10/2014;06/10/2014;06/16/2014;07/01/2014;C14060006528;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/18/2014;06/18/2014;06/19/2014;10/01/2014;C14060007842;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/01/2014;07/02/2014;07/02/2014;08/06/2014;C14070000794;118;DISTRIFILM COMERCIAL LTDA;SP;60;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/10/2014;07/11/2014;07/14/2014;10/01/2014;C14070003700;118;DISTRIFILM COMERCIAL LTDA;SP;70;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/16/2014;07/17/2014;07/18/2014;10/01/2014;C14070007101;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/27/2013;05/28/2013;06/03/2013;05/31/2013;C13050009593;118;DISTRIFILM COMERCIAL LTDA;SP;96;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
