Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria
05/09/2007;C07090000223;2;BANCO ITAU S. A.                        ;SP;436;1;Corporativa
10/09/2007;C07090002196;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090002277;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090002358;6;MIRACULA STORE;SP;300;1;Corporativa
10/09/2007;C07090002439;6;MIRACULA STORE;SP;300;1;Corporativa
10/09/2007;C07090002510;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090002609;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090002781;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090002862;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090002943;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090003087;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090003168;6;MIRACULA STORE;SP;300;1;Corporativa
10/09/2007;C07090003249;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090003320;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090003400;6;MIRACULA STORE;SP;199;1;Corporativa
10/09/2007;C07090003591;6;MIRACULA STORE;SP;299;1;Corporativa
10/09/2007;C07090003672;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090003753;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090003834;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090003915;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090004059;6;MIRACULA STORE;SP;500;1;Corporativa
10/09/2007;C07090004130;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090004210;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090004300;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090004725;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090004806;6;MIRACULA STORE;SP;300;1;Corporativa
10/09/2007;C07090004997;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090005101;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090005292;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090005373;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090005454;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090005616;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090005705;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090005888;6;MIRACULA STORE;SP;300;1;Corporativa
10/09/2007;C07090005969;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090006000;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006183;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006264;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090006345;6;MIRACULA STORE;SP;500;1;Corporativa
10/09/2007;C07090006426;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006507;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006698;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090006779;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006850;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090006930;6;MIRACULA STORE;SP;400;1;Corporativa
10/09/2007;C07090007236;6;MIRACULA STORE;SP;200;1;Corporativa
11/09/2007;C07090007317;8;NEXXIA;SP;200;1;Corporativa
11/09/2007;C07090007589;8;NEXXIA;SP;200;1;Corporativa
12/09/2007;C07090010377;8;NEXXIA;SP;400;1;Corporativa
12/09/2007;C07090010458;8;NEXXIA;SP;500;1;Corporativa
12/09/2007;C07090010539;8;NEXXIA;SP;500;1;Corporativa
12/09/2007;C07090010610;8;NEXXIA;SP;500;1;Corporativa
12/09/2007;C07090010709;8;NEXXIA;SP;500;1;Corporativa
