Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro
1;BANCO ITAU S. A.                        ;1;Corporativa;1;OKIDATA;00018;Super bonus;05/09/2007
40;Wadt Representações;1;Corporativa;1;OKIDATA;00025;Bonus Wadt;10/10/2007
43;TESTE 23;1;Corporativa;1;OKIDATA;00004;Clientes Regiao Sul;23/10/2007
45;Sab Company;1;Corporativa;1;OKIDATA;00024;EXPIRADO;01/11/2007
47;Teste OKIDATA;1;Corporativa;1;OKIDATA;;;06/11/2007
48;teste Miracula;1;Corporativa;1;OKIDATA;;;07/11/2007
49;alex Silveira;1;Corporativa;1;OKIDATA;;;07/11/2007
50;mira;1;Corporativa;1;OKIDATA;;;07/11/2007
52;teste Miracula;1;Corporativa;1;OKIDATA;;;07/11/2007
53;Bozolina71218258640;1;Corporativa;1;OKIDATA;;;07/11/2007
54;miracula;1;Corporativa;1;OKIDATA;;;07/11/2007
55;teste Miracula;1;Corporativa;1;OKIDATA;;;08/11/2007
56;alex teste teste;1;Corporativa;1;OKIDATA;;;08/11/2007
57;miracula;1;Corporativa;1;OKIDATA;;;08/11/2007
60;Jadilson Miracula;1;Corporativa;1;OKIDATA;;;09/11/2007
61;Anzentitai;1;Corporativa;1;OKIDATA;;;14/11/2007
62;Chageandaska;1;Corporativa;1;OKIDATA;00006;teste de bonus;14/11/2007
64;Teste Coleta Ltda.;1;Corporativa;1;OKIDATA;00018;Super bonus;29/11/2007
