Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
07/20/2010;C10070003812;138;OKIDATA DO BRASIL INFORMÁTICA;60;07/23/2010;Encerrada
10/04/2010;C10100000794;138;OKIDATA DO BRASIL INFORMÁTICA;36;11/03/2010;Em trânsito
12/14/2010;C10120001818;138;OKIDATA DO BRASIL INFORMÁTICA;50;12/17/2010;Em trânsito
12/18/2010;C10120002890;138;OKIDATA DO BRASIL INFORMÁTICA;30;12/22/2010;Em trânsito
03/30/2011;C11030005758;138;OKIDATA DO BRASIL INFORMÁTICA;30;04/04/2011;Encerrada
04/29/2011;C11040005017;138;OKIDATA DO BRASIL INFORMÁTICA;100;;Rejeitada
04/29/2011;C11040005106;138;OKIDATA DO BRASIL INFORMÁTICA;45;05/03/2011;Encerrada
01/17/2011;C11010002338;138;OKIDATA DO BRASIL INFORMÁTICA;35;01/18/2011;Encerrada
09/15/2011;C11090004537;138;OKIDATA DO BRASIL INFORMÁTICA;35;10/04/2011;Encerrada
10/11/2011;C11100002833;138;OKIDATA DO BRASIL INFORMÁTICA;30;10/18/2011;Em trânsito
11/25/2011;C11110006190;138;OKIDATA DO BRASIL INFORMÁTICA;30;;Rejeitada
12/08/2011;C11120001832;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Rejeitada
12/14/2011;C11120003614;138;OKIDATA DO BRASIL INFORMÁTICA;60;01/04/2012;Em trânsito
12/05/2011;C11120000518;138;OKIDATA DO BRASIL INFORMÁTICA;50;12/12/2011;Encerrada
11/18/2011;C11110004499;138;OKIDATA DO BRASIL INFORMÁTICA;35;11/21/2011;Encerrada
06/20/2011;C11060005683;138;OKIDATA DO BRASIL INFORMÁTICA;30;07/01/2011;Encerrada
06/06/2011;C11060001858;138;OKIDATA DO BRASIL INFORMÁTICA;15;06/06/2011;Encerrada
07/27/2011;C11070006771;138;OKIDATA DO BRASIL INFORMÁTICA;30;07/29/2011;Encerrada
08/23/2011;C11080007002;138;OKIDATA DO BRASIL INFORMÁTICA;10;09/01/2011;Encerrada
10/07/2008;C08100001217;138;OKIDATA DO BRASIL INFORMÁTICA;50;10/30/2008;Encerrada
12/03/2008;C08120001530;138;OKIDATA DO BRASIL INFORMÁTICA;20;12/08/2008;Cancelada
12/05/2008;C08120002189;138;OKIDATA DO BRASIL INFORMÁTICA;30;;Cancelada
11/24/2008;C08110003115;138;OKIDATA DO BRASIL INFORMÁTICA;86;11/24/2008;Encerrada
11/24/2008;C08110003204;138;OKIDATA DO BRASIL INFORMÁTICA;90;11/24/2008;Encerrada
11/24/2008;C08110003387;138;OKIDATA DO BRASIL INFORMÁTICA;344;11/24/2008;Encerrada
11/28/2008;C08110004510;138;OKIDATA DO BRASIL INFORMÁTICA;32;;Rejeitada
11/28/2008;C08110004600;138;OKIDATA DO BRASIL INFORMÁTICA;12;;Rejeitada
02/04/2009;C09020001286;138;OKIDATA DO BRASIL INFORMÁTICA;25;02/06/2009;Encerrada
02/09/2009;C09020002096;138;OKIDATA DO BRASIL INFORMÁTICA;10;;Rejeitada
