Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração;Data Resgate
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002679;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002679;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002830;70;Testando Sistema Ltda.;2700;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002830;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002911;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002911;70;Testando Sistema Ltda.;900;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002911;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035;
C07120002911;70;Testando Sistema Ltda.;1800;00018;Super bonus;P;12/12/2007;29/04/2035;
