Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
19/09/2007;C07090021905;17;Horiba ABX Diagnostics;SP;1000;1;Corporativa;JAMEF TRANSPORTES LTDA                  ;Rejeitada
19/09/2007;C07090022030;17;Horiba ABX Diagnostics;SP;2000;1;Corporativa;JAMEF TRANSPORTES LTDA                  ;Rejeitada
21/09/2007;C07090022545;21;TESTE MIRACULA;SP;200;1;Corporativa;;Rejeitada
21/09/2007;C07090022626;22;TESTE MIRACULA 2;SP;200;1;Corporativa;;Rejeitada
21/09/2007;C07090022707;23;TESTE MIRACULA 3;SP;200;1;Corporativa;;Rejeitada
25/09/2007;C07090024327;28;Klima Campinas;SP;100;1;Corporativa;JAMEF TRANSPORTES LTDA                  ;Rejeitada
25/09/2007;C07090024408;17;Horiba ABX Diagnostics;SP;500;1;Corporativa;JAMEF TRANSPORTES LTDA                  ;Rejeitada
26/09/2007;C07090025056;25;Premier TI;SP;100;1;Corporativa;TRANSPORTADORA MIRACULA;Rejeitada
10/10/2007;C07100003831;40;Wadt Representações;SP;150;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Rejeitada
10/10/2007;C07100003912;40;Wadt Representações;SP;200;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Rejeitada
10/10/2007;C07100004056;1;BANCO ITAU S. A.                        ;SP;100;1;Corporativa;DELTA RECORDS COM SERV E ARMAZ.LTDA     ;Rejeitada
11/10/2007;C07100004994;41;Teste;SP;100;3;Governo;;Rejeitada
