Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
10/09/2007;C07090002196;6;MIRACULA STORE;100;25/09/2007;Em trânsito
10/09/2007;C07090002439;6;MIRACULA STORE;300;25/09/2007;Em trânsito
10/09/2007;C07090002510;6;MIRACULA STORE;200;25/09/2007;Em trânsito
10/09/2007;C07090004210;6;MIRACULA STORE;100;25/09/2007;Em trânsito
10/09/2007;C07090005705;6;MIRACULA STORE;200;10/09/2007;Em trânsito
12/09/2007;C07090010881;8;NEXXIA;500;13/09/2007;Em trânsito
12/09/2007;C07090010962;8;NEXXIA;400;13/09/2007;Em trânsito
16/09/2007;C07090013473;8;NEXXIA;300;16/09/2007;Em trânsito
16/09/2007;C07090013805;8;NEXXIA;200;16/09/2007;Em trânsito
16/09/2007;C07090013988;8;NEXXIA;500;16/09/2007;Em trânsito
17/09/2007;C07090018432;8;NEXXIA;300;18/09/2007;Em trânsito
17/09/2007;C07090018513;8;NEXXIA;500;18/09/2007;Em trânsito
